x,y,,,,,,
662,108.52,,,,,,
663,1307.01,,,,,,
664,955.85,,,,,,
665,300.31,,,,,,
666,888.93,,,,,,
667,1268.2,,,,,,
668,761.38,,,,,,
669,315.96,,,,,,
670,88.54,,,,,,
671,828.82,,,,,,
672,1125.3,,,,,,
673,1528.48,,,,,,
674,43.29,,,,,,
675,336.07,,,,,,
676,903.87,,,,,,
677,851.27,,,,,,
678,181.16,,,,,,
679,890.88,,,,,,
680,515.64,,,,,,
681,121.45,,,,,,
682,921.16,,,,,,
683,670.73,,,,,,
684,653.95,,,,,,
685,153.12,,,,,,
686,475.8,,,,,,
687,44.51,,,,,,
688,1318.87,,,,,,
689,173.81,,,,,,
690,94.84,,,,,,
691,58.46,,,,,,
692,251.49,,,,,,
693,213.24,,,,,,
694,98.12,,,,,,
695,954.81,,,,,,
696,618.59,,,,,,
697,873.41,,,,,,
698,90.62,,,,,,
699,1288.85,,,,,,
700,480.25,,,,,,
701,599.32,,,,,,
702,662.12,,,,,,
703,197.09,,,,,,
704,1315.71,,,,,,
705,202.36,,,,,,
706,699.39,,,,,,
707,324.83,,,,,,
708,554.74,,,,,,
709,330.98,,,,,,
710,340.08,,,,,,
711,746.65,,,,,,
712,731.26,,,,,,
713,207.77,,,,,,
714,46.9,,,,,,
715,1040.05,,,,,,
716,81.37,,,,,,
717,110.3,,,,,,
718,844.76,,,,,,
719,234.45,,,,,,
720,30.63,,,,,,
721,178.51,,,,,,
722,170.29,,,,,,
723,661.62,,,,,,
724,1253.6,,,,,,
725,43.16,,,,,,
726,835.29,,,,,,
727,752.51,,,,,,
728,238.42,,,,,,
729,403.91,,,,,,
730,641.24,,,,,,
731,978.88,,,,,,
732,741.03,,,,,,
733,1244.27,,,,,,
734,1154.87,,,,,,
735,372.93,,,,,,
736,221.96,,,,,,
737,622.67,,,,,,
738,240.54,,,,,,
739,452.86,,,,,,
740,1179.45,,,,,,
741,1276.72,,,,,,
742,93.15,,,,,,
743,350.28,,,,,,
744,137.32,,,,,,
745,188.13,,,,,,
746,44.77,,,,,,
747,905.62,,,,,,
748,886.92,,,,,,
749,1177.15,,,,,,
750,30.46,,,,,,
751,1254.68,,,,,,
752,956.85,,,,,,
753,804.57,,,,,,
754,953.35,,,,,,
755,1396.11,,,,,,
756,499.68,,,,,,
757,1016.65,,,,,,
758,627.23,,,,,,
759,1425.44,,,,,,
760,811.85,,,,,,
761,1267.18,,,,,,
762,878.41,,,,,,
763,191.56,,,,,,
764,80.47,,,,,,
765,908.99,,,,,,
766,634.13,,,,,,
767,822.47,,,,,,
768,656.84,,,,,,
769,261.99,,,,,,
770,1364.82,,,,,,
771,1304.2,,,,,,
772,429.56,,,,,,
773,130.44,,,,,,
774,30.13,,,,,,
775,585.34,,,,,,
776,674.66,,,,,,
777,341.27,,,,,,
778,156.25,,,,,,
779,353.18,,,,,,
780,516.16,,,,,,
781,1147.9,,,,,,
782,230.25,,,,,,
783,129.26,,,,,,
784,287.93,,,,,,
785,89.25,,,,,,
786,1209.51,,,,,,
787,1320.88,,,,,,
788,31.75,,,,,,
789,266.4,,,,,,
790,724.65,,,,,,
791,252.34,,,,,,
792,29.96,,,,,,
793,421.39,,,,,,
794,1303.87,,,,,,
795,1292.39,,,,,,
796,31.01,,,,,,
797,26.57,,,,,,
798,407.87,,,,,,
799,1286.62,,,,,,
800,78.86,,,,,,
801,596.65,,,,,,
802,1031.47,,,,,,
803,386.31,,,,,,
804,1549.26,,,,,,
805,362.09,,,,,,
806,158.73,,,,,,
807,914.5,,,,,,
808,99.17,,,,,,
809,345.26,,,,,,
810,88.3,,,,,,
811,543.11,,,,,,
812,47.51,,,,,,
813,428.31,,,,,,
814,812.88,,,,,,
815,89.43,,,,,,
816,314.83,,,,,,
817,67.64,,,,,,
818,704.71,,,,,,
819,39.32,,,,,,
820,1218.09,,,,,,
821,170.46,,,,,,
822,339.75,,,,,,
823,653.7,,,,,,
824,945.44,,,,,,
825,681.25,,,,,,
826,69.82,,,,,,
827,52.29,,,,,,
828,357.59,,,,,,
829,1165.99,,,,,,
830,70.46,,,,,,
831,1225.52,,,,,,
832,82.89,,,,,,
833,692.3,,,,,,
834,1215.86,,,,,,
835,1058.07,,,,,,
836,1165.55,,,,,,
837,51.68,,,,,,
838,215.3,,,,,,
839,87.16,,,,,,
840,173.94,,,,,,
841,728.73,,,,,,
842,77.36,,,,,,
843,411.84,,,,,,
844,172.77,,,,,,
845,1208.07,,,,,,
846,415.21,,,,,,
847,215.49,,,,,,
848,386.3,,,,,,
849,29.45,,,,,,
850,449.71,,,,,,
851,353.02,,,,,,
852,1298,,,,,,
853,42.54,,,,,,
854,1338.16,,,,,,
855,1245.08,,,,,,
856,347.01,,,,,,
857,340.8,,,,,,
858,804.86,,,,,,
859,1124.59,,,,,,
860,239.32,,,,,,
861,238.72,,,,,,
862,959.15,,,,,,
863,230.16,,,,,,
864,1496.67,,,,,,
865,774.87,,,,,,
866,173.14,,,,,,
867,179.29,,,,,,
868,148.98,,,,,,
869,810.08,,,,,,
870,75.54,,,,,,
871,1329.68,,,,,,
872,880.52,,,,,,
873,274.25,,,,,,
874,427.87,,,,,,
875,421.67,,,,,,
876,1167.71,,,,,,
877,1097.95,,,,,,
878,1350.2,,,,,,
879,607.34,,,,,,
880,202.72,,,,,,
881,450.92,,,,,,
882,708.26,,,,,,
883,53.47,,,,,,
884,132.03,,,,,,
885,649.99,,,,,,
886,38.79,,,,,,
887,340.18,,,,,,
888,638.05,,,,,,
889,96.1,,,,,,
890,54.88,,,,,,
891,45.22,,,,,,
892,65.71,,,,,,
893,203.85,,,,,,
894,381.02,,,,,,
895,935.7,,,,,,
896,1423.74,,,,,,
897,1043.78,,,,,,
898,853.55,,,,,,
899,692.73,,,,,,
900,552.24,,,,,,
901,684.05,,,,,,
902,912.06,,,,,,
903,1017.81,,,,,,
904,264.61,,,,,,
905,1410.36,,,,,,
906,1289.96,,,,,,
907,688.55,,,,,,
908,79.16,,,,,,
909,793.63,,,,,,
910,1146.35,,,,,,
911,218.55,,,,,,
912,199.71,,,,,,
913,497,,,,,,
914,586.22,,,,,,
915,75.79,,,,,,
916,1029.03,,,,,,
917,1286.38,,,,,,
918,192.88,,,,,,
919,1638.73,,,,,,
920,235.22,,,,,,
921,381.18,,,,,,
922,265.81,,,,,,
923,749.81,,,,,,
924,1132.19,,,,,,
925,494.48,,,,,,
926,99.2,,,,,,
927,815.53,,,,,,
928,796.27,,,,,,
929,237.08,,,,,,
930,74.87,,,,,,
931,76.32,,,,,,
932,820.26,,,,,,
933,990.27,,,,,,
934,74.52,,,,,,
935,138.3,,,,,,
936,1132.65,,,,,,
937,1277.8,,,,,,
938,482.14,,,,,,
939,414.86,,,,,,
940,161.77,,,,,,
941,1134.01,,,,,,
942,209.32,,,,,,
943,1077.51,,,,,,
944,402.47,,,,,,
945,190.56,,,,,,
946,466.71,,,,,,
947,222.72,,,,,,
948,1116.66,,,,,,
949,957.48,,,,,,
950,499.01,,,,,,
951,898.19,,,,,,
952,667.66,,,,,,
953,1161.08,,,,,,
954,1367.55,,,,,,
955,1195.03,,,,,,
956,207.47,,,,,,
957,737.81,,,,,,
958,116.6,,,,,,
959,1325.65,,,,,,
960,1663.01,,,,,,
961,121.81,,,,,,
962,252.26,,,,,,
963,37.54,,,,,,
964,114.82,,,,,,
965,828.79,,,,,,
966,39.31,,,,,,
967,1490.87,,,,,,
968,121.96,,,,,,
969,396.36,,,,,,
970,49.93,,,,,,
971,710.29,,,,,,
972,901.97,,,,,,
973,1417.96,,,,,,
974,476.9,,,,,,
975,35.92,,,,,,
976,439.47,,,,,,
977,485.12,,,,,,
978,317.3,,,,,,
979,867.44,,,,,,
980,136.85,,,,,,
981,734.54,,,,,,
982,897.84,,,,,,
983,259.44,,,,,,
984,177.18,,,,,,
985,520.07,,,,,,
986,359.97,,,,,,
987,98.16,,,,,,
988,278.3,,,,,,
989,1446.1,,,,,,
990,754.26,,,,,,
991,311.36,,,,,,
992,758.63,,,,,,
993,367.22,,,,,,
994,1062.98,,,,,,
995,48.78,,,,,,
996,924.92,,,,,,
997,1377.77,,,,,,
998,1153.07,,,,,,
999,554.09,,,,,,
1000,1182.35,,,,,,
